 lats   RT  ATn  ATe  OTn  OTe OTna ATLn PACn INDn ERnT ERnA ERnP ERnI OTea ATLe PACe INDe EReT EReA EReP EReI
 8786    0    5    5   -5   -5 -999 -999 -999 -999    0    0    0    0 -999 -999 -999 -999    0    0    0    0
 8510   13   18   15   -5   -3 -999 -999 -999 -999    0    0    0    0 -999 -999 -999 -999    0    0    0    0
 8231   33   36   32   -3    0 -999 -999 -999 -999    0    0    0    0 -999 -999 -999 -999    0    0    0    0
 7953   59   59   55    0    5 -999 -999 -999 -999    0    0    0    0 -999 -999 -999 -999    0    0    0    0
 7674   92   90   81    2   11 -999 -999 -999 -999    0    0    0    0 -999 -999 -999 -999    0    0    0    0
 7395  130  127  112    4   18 -999 -999 -999 -999    0    0    0    0 -999 -999 -999 -999    0    0    0    0
 7116  172  163  146    9   26 -999 -999 -999 -999    0    0    0    0 -999 -999 -999 -999    0    0    0    0
 6837  215  199  181   16   34   14   14 -999 -999    0    0    0    0   14   14 -999 -999    0    0    0    0
 6558  258  239  218   19   41   14   14 -999 -999    0    0    0    0   14   14 -999 -999    0    0    0    0
 6279  302  281  255   20   47   18   18 -999 -999    2    2    0    0   17   17 -999 -999    2    2    0    0
 6000  345  324  290   20   55   25   24    2 -999    4    4    1    0   22   22    1 -999    4    4    1    0
 5721  386  365  324   22   63   31   29    2 -999    6    5    3    0   28   27    2 -999    6    5    3    0
 5442  426  402  358   24   68   34   32    2 -999    7    5    5    0   32   31    1 -999    7    5    5    0
 5163  462  437  391   25   71   36   36    0 -999    9    6    6    0   33   35   -1 -999    9    6    6    0
 4884  494  469  419   25   75   38   42   -4 -999   10    7    7    0   35   39   -5 -999   10    7    7    0
 4604  521  498  444   24   77   37   46   -9 -999   11    8    8    0   35   43   -8 -999   11    8    8    0
 4325  542  517  460   24   82   41   52  -11 -999   13    9   10    0   40   49   -9 -999   13    9   10    0
 4046  555  514  460   41   95   62   66   -4 -999   14    9   11    0   55   59   -4 -999   14    9   11    0
 3767  561  486  443   74  117   93   85    9 -999   16   10   12    0   77   72    5 -999   16   10   12    0
 3488  559  453  421  106  138  122   98   23 -999   17   11   13    0   97   80   17 -999   17   11   13    0
 3209  554  429  403  126  151  146  106   40 -999   19   12   14    0  110   81   29 -999   19   12   14    0
 2930  547  405  383  143  164  165  112   53 -999   20   13   15    0  119   82   37 -999   20   13   15    0
 2651  534  377  354  157  180  178  115   63 -999   22   14   17    0  129   85   44 -999   22   14   17    0
 2372  512  346  316  166  196  190  117   72    0   23   15   18    2  140   87   53    0   23   15   18    2
 2093  484  307  274  176  210  200  119   82   -1   24   15   19    2  150   89   61    0   24   15   19    2
 1814  445  260  226  185  220  208  120   91   -3   26   16   20    4  156   90   66   -1   26   16   20    4
 1535  392  209  176  183  217  209  121   96   -8   27   17   21    5  151   89   65   -3   27   17   21    5
 1256  325  155  131  170  194  199  120   92  -13   29   17   22    6  131   86   50   -5   29   17   22    6
  977  250   98   90  152  160  182  117   82  -17   30   18   23    7   99   82   26   -9   30   18   23    7
  698  174   50   48  125  126  157  113   68  -24   31   18   24    8   69   77    6  -14   31   18   24    8
  419   95   17    7   78   89  113  103   44  -34   33   19   26    9   39   71  -14  -18   33   19   26    9
  140   12    1  -23   11   35   47   89    3  -45   34   19   26   10   -7   62  -43  -26   34   19   26   10
 -140  -73  -11  -42  -62  -31  -24   77  -42  -59   40   18   28   22  -64   52  -77  -39   40   18   28   22
 -419 -152  -36  -67 -116  -84  -77   69  -72  -73   39   18   27   21 -108   44 -101  -50   39   18   27   21
 -698 -225  -77 -109 -148 -116 -107   67  -87  -87   38   18   27   21 -135   40 -113  -63   38   18   27   21
 -977 -291 -126 -159 -165 -132 -122   68  -92  -98   37   17   26   20 -151   40 -118  -73   37   17   26   20
-1256 -350 -181 -211 -168 -139 -124   69  -88 -105   36   17   25   19 -158   41 -120  -78   36   17   25   19
-1535 -400 -237 -265 -163 -135 -119   67  -83 -102   34   16   24   19 -155   40 -120  -75   34   16   24   19
-1814 -442 -285 -318 -157 -124 -111   65  -79  -97   33   16   23   18 -146   40 -119  -67   33   16   23   18
-2093 -477 -330 -366 -146 -110 -101   62  -74  -89   32   15   22   17 -133   39 -117  -56   32   15   22   17
-2372 -506 -375 -410 -131  -95  -88   59  -69  -78   31   15   21   17 -119   38 -112  -44   31   15   21   17
-2651 -529 -411 -448 -118  -81  -77   57  -67  -67   30   14   20   16 -105   35 -106  -34   30   14   20   16
-2930 -547 -438 -473 -109  -73  -68   57  -65  -61   28   13   20   15  -99   32 -102  -29   28   13   20   15
-3209 -558 -460 -488  -98  -70  -59   59  -61  -56   27   13   19   14  -95   30  -99  -26   27   13   19   14
-3488 -562 -477 -496  -85  -66  -46   64  -57  -52   25   12   18   13  -89   29  -95  -23   25   12   18   13
-3767 -558 -489 -500  -68  -58  -29   69  -51  -46   23   11   17   12  -77   32  -91  -18   23   11   17   12
-4046 -545 -491 -495  -54  -51  -14   70  -46  -38   22   10   15   11  -66   33  -87  -12   22   10   15   11
-4325 -526 -471 -476  -55  -49  -14   69  -49  -35   20    9   14   10  -59   32  -83   -8   20    9   14   10
-4604 -499 -433 -445  -66  -54  -25   67  -54  -38   18    8   13    9  -56   30  -79   -8   18    8   13    9
-4884 -466 -391 -405  -76  -61  -32   63  -55  -40   16    7   12    8  -55   27  -72  -10   16    7   12    8
-5163 -429 -346 -363  -83  -66  -36   59  -53  -43   13    5   10    6  -52   23  -61  -14   13    5   10    6
-5442 -388 -304 -321  -84  -67  -34   59  -50  -44   10    3    9    5  -44   22  -49  -16   10    3    9    5
-5721 -344 -270 -280  -75  -64  -26   58  -45  -38    8    2    7    2  -33   21  -38  -17    8    2    7    2
-6000 -298 -237 -238  -61  -61  -21   55  -39  -37    5    1    5    0  -24   21  -27  -17    5    1    5    0
-6279 -251 -203 -194  -48  -57  -14   54  -32  -37    3    0    3    0  -13   21  -16  -17    3    0    3    0
-6558 -204 -171 -153  -33  -51   -9   54  -27  -37    0    0    0    0   -8   21  -11  -17    0    0    0    0
